Sr. No.,Main Category,Sub Category,Entity,Issue & Issue Type,Solution,Tag
1,Authentication,Login Screen,Apps (Mobile App),Login screen has no loading indicator after button tap [UI],Add a spinner/loading animation on the login button after it is tapped to give visual feedback to the user.,Must Have
2,Authentication,Login Screen,Apps (Mobile App),Back gesture on iOS dismisses unsaved form data without warning [UX],Intercept the back gesture and show a confirmation dialog: "You have unsaved changes. Discard?",Must Have
3,Authentication,Session Management,Apps (Web App),Session timeout gives no warning before logging the user out [UX],Show a countdown modal 2 minutes before session expiry with options to "Stay Logged In" or "Logout".,Must Have
4,Navigation,Breadcrumbs,Apps (Web App),Breadcrumb navigation is missing on inner pages [UX],Add a breadcrumb trail at the top of all second and third-level pages for easy navigation.,Should Have
5,Navigation,Keyboard Shortcuts,Apps (Web App),No keyboard shortcut support for power users [UX],Introduce keyboard shortcuts (e.g. N = New Record; / = Search; Esc = Close modal) with a shortcut help panel.,Would Have
6,Dashboard,Cards & Widgets,Apps (Mobile App),Font size on dashboard cards is too small to read comfortably [UX],Increase font size from 11px to 14px on dashboard cards; follow WCAG AA contrast guidelines.,Must Have
7,Dashboard,Action Buttons,Apps (Web App),Primary action buttons are not visually consistent across pages [UI],Standardize button styles (color #4F46E5 — primary; border radius 8px; padding 12px 24px) across all pages.,Must Have
8,Forms,Data Entry,Apps (Web App),Auto-save is not implemented on long forms — data lost on accidental refresh [UX],Implement auto-save using localStorage every 30 seconds with a subtle "Draft saved" toast notification.,Should Have
9,Permissions,Entitlement List,Entitlements,No visual distinction between active and expired entitlements in the list [UI],Use color-coded badges — green for Active and red/grey for Expired — with an icon indicator.,Must Have
10,Permissions,Entitlement List,Entitlements,Users cannot filter entitlements by type or status [UX],Add a filter panel at the top of the entitlements list with dropdowns for Type and Status.,Should Have
11,Permissions,Entitlement Assignment,Entitlements,Assigning an entitlement has no confirmation step — easy to assign by mistake [UX],Add a confirmation modal before finalizing entitlement assignment with summary of selected options.,Must Have
12,Permissions,Bulk Actions,Entitlements,Bulk selection of entitlements is not available [UX],Add checkboxes on each row and a "Select All" option with batch action toolbar (assign / revoke / export).,Should Have
13,Permissions,Audit & History,Entitlements,Entitlement detail page has no audit log or history of changes [UX],Add a "History" tab on the entitlement detail page showing timestamped change log with actor info.,Would Have
14,Data Tables,Column Headers,Tables (Data Table),Column headers are not sortable — users cannot reorder data [UX],Make all column headers clickable with ascending/descending sort indicators (arrow icons).,Must Have
15,Data Tables,Empty State,Tables (Data Table),No empty state message when a table has no data [UI],Display a friendly empty-state illustration with a message like "No records found" and a CTA button.,Must Have
16,Data Tables,Cell Content,Tables (Data Table),Long text in table cells gets truncated with no tooltip to view full content [UI],Add a hover tooltip that shows the full cell content when text is truncated with ellipsis.,Could Have
17,Data Tables,Pagination,Tables (Data Table),Pagination controls are at the bottom only — hard to reach on long tables [UX],Add pagination controls both at the top and bottom of the table for quicker navigation.,Could Have
18,Data Tables,Export,Tables (Data Table),No export option available for table data [UX],Add an Export button (CSV / Excel / PDF) in the table toolbar.,Should Have
19,Data Tables,Column Visibility,Tables (Data Table),No column visibility toggle — users are forced to see all columns [UX],Add a "Columns" button in the toolbar that opens a popover to show/hide individual columns.,Would Have
20,Accessibility,Dark Mode,Apps (Mobile App),No dark mode support — strains eyes in low-light environments [UI],Implement a system-preference-aware dark mode using CSS media query (prefers-color-scheme).,Could Have
